formula,k,c,s,zt
Bi0.90Ho0.10Cu1Se1O1,1.255434343,5.358974355,0.583326456,1.451494254
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Y0.02Cu1Se1O1,1.062318139,1.830690014,0.768261964,1.017142543
Bi0.96Y0.04Cu1Se1O1,1.135692722,2.591671771,0.719563392,1.180778612
Bi0.94Y0.06Cu1Se1O1,1.163836396,3.091247581,0.675902603,1.212623193
Bi0.92Y0.08Cu1Se1O1,1.219118616,3.416552763,0.467674222,0.612877265
Bi0.90Y0.10Cu1Se1O1,1.23721098,2.260557573,0.561712847,0.576420102
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Li0.02Cu1Se1O1,1.014833128,5.583333333,0.883224168,4.29181318
Bi0.94Li0.06Cu1Se1O1,1.103831891,17.25,0.63669741,6.335083285
Bi0.92Li0.08Cu1Se1O1,1.143386898,23.41666667,0.539384216,5.958381829
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Sm0.025Cu1Se1O1,1.59555218,3.046986719,0.830985916,1.318702642
Bi0.950Sm0.050Cu1Se1O1,1.637014698,2.97344229,0.712423797,0.921899907
Bi0.900Sm0.100Cu1Se1O1,1.56162833,5.492339121,0.550977508,1.067695485
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Pb0.04Cu1Se1O1,1.792035397,7.286576695,0.581865867,1.376647405
Bi0.98Pb0.02Cu0.98Ag0.02Se1O1,1.28539823,3.224590545,0.802173099,1.61425844
Bi0.94Pb0.06Cu0.94Ag0.06Se1O1,1.389380531,7.576570925,0.581865867,1.846278652
Bi0.92Pb0.08Cu0.92Ag0.08Se1O1,1.721238936,9.701018342,0.527913076,1.570728061
Bi0.95Na0.050Cu1Se1O0.95F0.05,1.070401494,6.22696823,1.846171992,19.82778767
Bi0.85Na0.150Cu1Se1O0.85F0.15,1.022222222,8.049214035,1.456193167,16.69729559
Bi0.975Ba0.025Cu1Se1O1,1.059045565,14.23076923,0.599093656,4.82284352
Bi0.950Ba0.050Cu1Se1O1,1.165273659,27.15384615,0.501500749,5.860660933
Bi0.925Ba0.075Cu1Se1O1,1.228093826,44.23076923,0.436882568,6.874203387
Bi1Na0Cu1Se1O1F0,1,1,1,1
Bi0.750Ba0.250Cu1Se1O1,2.372331802,51.92621994,0.31402315,2.158413297
Bi0.98Cl0.02Cu1Se1O1,1.073174578,0.444447459,1.043246591,0.45073782
Bi0.990Na0.010Cu1Se1O1,0.911693791,9.498695652,0.740187987,5.708198148
Bi0.94Li0.06Cu0.94Mn0.06Se1O1,1.305354994,10.56667387,0.804085157,5.233759471
Bi0.875Ba0.125Cu0.95Ni0.05Se1O1,0.968754672,5.738036304,0.84673352,4.246615958
Bi0.99Cd0.01Cu1Se1O1,0.835767022,1.517738874,0.94684681,1.628063229
Bi0.990Sb0.010Cu1Se1O1,1.045728741,1.345214232,0.932151327,1.11775148
Bi0.980Sb0.020Cu1Se1O1,1.063436466,1.552305187,0.886430561,1.146977771
Bi0.920Sb0.080Cu1Se1O1,1.148277875,1.832498121,0.769910537,0.945969357
Bi0.99Sb0.01Cu1Se0.99Te0.01O1,1.095701225,3.181807421,0.734092895,1.56488989
Bi0.98Er0.02Cu1Se1O1,1.108606956,1.958333333,0.775973524,1.063659993
Bi0.96Pb0.04Cu0.96Ni0.04Se1O1,1.183339821,5.324369467,0.65071151,1.905178545
Bi0.925Mg0.075Cu1Se1O1,1.16718046,3.942020666,0.815061191,2.243682073
Bi0.90Na0.10Cu1Se1O1,0.898101511,1.849236864,0.83895442,1.449251798
Bi0.900In0.100Cu1Se1O1,1.14742935,1.532236385,0.707055711,0.667585793
Bi0.975Mg0.025Cu1Se1O1,0.949120433,1.511763436,1.018223469,1.651386462
Bi0.925Mg0.075Cu1Se1O1,0.903112314,2.140945392,0.781308558,1.447134805
Bi0.900Mg0.100Cu1Se1O1,0.883355886,2.520181308,0.753970901,1.621829699
Bi1Cu1Se0.92Te0.08O1,1.218571429,1.804104206,1.024966056,1.555355229
Bi1Cu1Se0.80Te0.20O1,1.076428571,2.163877165,0.929781075,1.73783601
Bi0.875La0.125Cu1Se1O1,1.413985149,2.928552721,0.684484819,0.9703666
Bi0.80Ca0.10Pb0.10Cu1Se1O1,1.371936569,35.29965112,0.40358235,4.190836432
Bi0.90Nd0.10Cu1Se1O1,0.854978635,3.249106948,0.689763513,1.808044766
Bi0.85Nd0.15Cu1Se1O1,1.248349087,4.740030619,0.502046169,0.957045123
Bi0.94Pb0.06Cu0.99Fe0.01Se1O1,1.022016425,1.29715365,1.024987398,1.333431155
Bi1Cu0.975Zn0.025Se1O1,1.204742362,0.953998409,1.105397414,0.96758774
Bi0.90Na0.10Cu1Se1O1,0.853075171,3.584721706,0.666666667,1.86760757
Bi0.950Sr0.050Cu1Se1O1,1.177147391,5.783213773,0.620027729,1.888689761
Bi0.900Sr0.100Cu1Se1O1,1.340408649,17.72797704,0.459136021,2.788076538
Bi0.92Yb0.08Cu1Se1O1,1.233819242,2.234725275,0.939310693,1.598052836
Bi0.98In0.02CuSeO,1.034461381,1.977011494,0.761377126,1.107817325
Bi0.96In0.04CuSeO,1.087110716,3.114942528,0.64501165,1.191967703
Bi0.90In0.10CuSeO,1.258461208,5.091954022,0.47709185,0.921020115
Bi0.96Li0.04Cu1Se1O1,1.034610629,9.083333333,0.770773366,5.215809418
Bi0.96Pb0.04Cu0.96Ag0.04Se1O1,1.415929203,5.520726512,0.671787186,1.759616907
Bi0.92Sn0.08Cu1Se1O1,1.23037519,0.74648866,1.073923895,0.699733491
Bi0.905Na0.015Pb0.08Cu1Se1O1,1.246824959,8.680940893,0.457141614,1.454999443
Bi1Cu0.97Ag0.03Se1O1,0.827562389,0.251543958,0.967453142,0.284519032
Bi0.98Sb0.02Cu1Se0.98Te0.02O1,1.18264929,5.954548145,0.671415662,2.269738225
Bi0.92Er0.08Cu1Se1O1,1.344861084,5.597222222,0.6152603,1.575480051
Bi0.98Pb0.02Cu0.98Ni0.02Se1O1,1.108018684,3.864873893,0.697644729,1.69768409
